product	slot	source	source_sha256	production_asset	output_sha256	codec	geometry	status	note
classic	selector	Non-Rugged - Front.jpg	89a4dc530859acb49b1708a06d439664e175888c66d4674f0288c65ffe4fe5c8	ip-classic-phone-front.webp	418201de78aaffdcdb8ef061fa6323e9bbff0459d07feab155d0fb0acb3115a2	WebP	800x640	ready	Patriotic selector composite; real handset and Yealink retained; 85226-byte WebP
classic	blocked	Non-Rugged - Side.jpg	8f363fa042d11c749057d555147d4926ea91eee2d6a654ce8f77eb16ba7ae270	ip-classic-phone-side.webp		WebP	2000x1600	rejected	Generated retouch v1 failed fidelity review; no production asset exists
classic	1	Non-Rugged - Buttons.jpg	47ee63f7c8b6bf7eaebf18c5e11f1cc2796807d7c6edcc0b250b65c28782bf65	ip-classic-phone-buttons.webp	8ef51795229cabfd81c46746e71bcb4b340b609013097584f5f35d90875d6b08	WebP	2000x1600	ready	Featured Shopify image; mechanical sRGB derivative
classic	2	Non-Rugged - Charger.jpg	b4fa060caa30443dfbdc36132aa99a2d025ae4c54a97f06e5c71f93b21cb9946	ip-classic-phone-charger.webp	27461531bfdaa006490b8489f22f8fd59f68b9c71a968c8fd448b6d3e91f66dd	WebP	2000x1600	ready	Second Shopify image; mechanical sRGB derivative
classic	3	Non-Rugged - Back.jpg	3e70bc479a5a558494e51cb2ea890cf21596c30f212d14a442aa3e6a87b3cba0	ip-classic-phone-back.webp	7fa3ec8f1056e9a9eeeb0dce5135a0a7f07b04d6eb813dacb9dc797945211548	WebP	2000x1600	ready	Third Shopify image; mechanical sRGB derivative
classic	blocked	Non-Rugged Spin.mp4	5d05a9fa94331a692540bdc2a0c71d876133feaa9921520e090d1155ac498da6	ip-classic-phone-spin.mp4	1fdca1a7b6332ff40070eede0ba5275a0709a5d7f20f65cbdf2dc4b73b045d9f	H.264 High 4.1	1920x1080	blocked	Technical derivative remains outside the approved front-card storefront scope
classic	blocked	Non-Rugged Spin.mp4	5d05a9fa94331a692540bdc2a0c71d876133feaa9921520e090d1155ac498da6	ip-classic-phone-spin-poster.webp	a395a7b202d80cff544b827bd8d1b765a934122ceddb8c7999c322a1609c6bbf	WebP	1600x900	blocked	Poster follows the blocked spin-video publish gate
rugged	selector	Rugged - Front.jpg	e45ab08cbc5b03d2ec60a0ec39801e58b041912d1bdf4534ca4af3cf706faa9b	ip-rugged-phone-front.webp	32f487f4a573aefd5aa194ee69496ab5738566d811624f24fafbf7c85831f8a0	WebP	800x640	ready	Patriotic selector composite; real handset and Yealink retained; 93730-byte WebP
rugged	blocked	Rugged - Side.jpg	f752f329c69b3b6cffe56fb0bc7d8e055af6e9d64a788dfe6de03dc3dbd04329	ip-rugged-phone-side.webp		WebP	2000x1600	rejected	Generated retouch v1 failed fidelity review; no production asset exists
rugged	1	Rugged - Buttons.jpg	f48450da3f5ec0ff0954b03bc8b3d9230ef35ffe53fb548238091cbf5fc25db9	ip-rugged-phone-buttons.webp	6674acfae19a63c41bed2315a4f426433976aad14aa0a3ad84eebb89d44b8504	WebP	2000x1600	ready	Featured Shopify image; mechanical sRGB derivative
rugged	2	Rugged - Charger.jpg	03ae9977f74e166761a2be1f52b59fc3900e2dfa0a6b2faf2380ef586b64cf16	ip-rugged-phone-charger.webp	b6a07585fd3d6bbc7c3c57a455c79e78b437b391bb56e73745a9c1dc3a57a30f	WebP	2000x1600	ready	Second Shopify image; mechanical sRGB derivative
rugged	3	Rugged - Back.jpg	0bf0b7185fb3c670794fb2adc6371a141644740bb1064dc08a3c7d0e8df36e1a	ip-rugged-phone-back.webp	2f3fd4a3c23b087cbe03a9923359336607ba117d05e7daffd55c9e2883445607	WebP	2000x1600	ready	Third Shopify image; untagged PNG payload assigned sRGB before resize and compressed below 100 KB
rugged	blocked	Rugged Spin.mp4	788d3e7d2e10f1c6d94a9ffcf93be226775c9080e4bf29b746eab369239299b7	ip-rugged-phone-spin.mp4	8962bdc1e7c28b3a32294c246a14c4cbedd76bb41f4dee2307783c5f86fe02b6	H.264 High 4.1	1920x1080	blocked	Technical derivative remains outside the approved front-card storefront scope
rugged	blocked	Rugged Spin.mp4	788d3e7d2e10f1c6d94a9ffcf93be226775c9080e4bf29b746eab369239299b7	ip-rugged-phone-spin-poster.webp	64dc0b41ec5844b7e8b5c7a50744c266550871c03cb578c94356ac42d260e6b3	WebP	1600x900	blocked	Poster follows the blocked spin-video publish gate
